ID	a_o	denomina	grupo	grado	avol	atot	acfi	ph	folin	somers	srv	procian	acrg	acse	achplc	ic	ic2	tono	iim	eq1	vla
v19	2	1	2	11.90	0.35	4.30	3.90	3.60	"1,468.00"	24.80	666.00	"1,889.00"	222.00	169.00	132.00	3.31	3.74	0.71	16.90	0.38	0.35
v20	2	1	2	11.50	0.40	4.40	3.90	3.60	"1,462.00"	25.70	612.00	"1,877.00"	236.00	178.00	130.00	3.98	4.46	0.67	19.20	0.37	0.33
v21	2	1	2	11.70	0.25	5.70	5.40	3.70	"1,887.00"	33.70	830.00	"2,634.00"	290.00	223.00	186.00	3.17	3.53	0.70	22.80	0.26	0.32
v22	2	1	2	11.60	0.65	4.50	3.70	3.80	"2,071.00"	32.10	906.00	"2,598.00"	242.00	187.00	146.00	2.63	2.99	0.74	20.60	0.28	0.35
v23	2	1	2	12.40	0.40	4.80	4.30	3.70	"2,074.00"	35.90	770.00	"2,702.00"	220.00	167.00	101.00	5.34	6.01	0.63	26.10	0.44	0.29
v24	2	1	2	11.40	0.55	4.60	3.90	3.70	"1,481.00"	27.50	726.00	"2,046.00"	273.00	186.00	154.00	2.09	2.32	0.69	19.70	0.25	0.35
v25	2	1	2	12.00	0.50	4.80	4.20	3.60	"1,359.00"	22.00	543.00	"1,771.00"	184.00	111.00	87.00	3.46	3.96	0.64	24.70	0.38	0.31
v26	2	1	2	12.70	0.35	4.30	3.90	3.60	"1,981.00"	28.60	853.00	"2,506.00"	270.00	212.00	156.00	3.09	3.42	0.72	19.50	0.27	0.34
v27	2	1	2	11.90	0.55	4.50	3.80	3.60	"1,890.00"	29.50	748.00	"2,570.00"	309.00	230.00	179.00	2.82	3.04	0.64	22.20	0.27	0.29
v28	2	1	2	11.90	0.55	4.60	3.90	3.60	"1,706.00"	32.20	659.00	"2,282.00"	248.00	189.00	149.00	2.12	2.23	0.63	21.20	0.22	0.29
v29	2	1	2	12.70	0.80	5.60	4.60	3.80	"1,503.00"	24.20	637.00	"2,036.00"	384.00	200.00	159.00	3.83	4.31	0.68	18.00	0.40	0.31
v30	2	1	2	12.20	0.40	4.00	3.50	3.80	"1,778.00"	25.20	670.00	"2,871.00"	263.00	189.00	139.00	4.20	4.81	0.69	17.10	0.47	0.23
v31	2	1	2	12.40	0.60	5.20	4.50	3.50	"2,000.00"	29.20	756.00	"2,298.00"	289.00	199.00	160.00	5.13	5.74	0.61	24.90	0.39	0.33
v32	2	1	2	12.70	0.50	5.10	4.50	3.60	"1,444.00"	23.90	606.00	"2,086.00"	232.00	166.00	115.00	4.45	4.93	0.61	24.10	0.41	0.29
v33	2	1	2	12.60	0.35	5.10	4.70	3.60	"1,706.00"	27.80	652.00	"2,509.00"	300.00	205.00	163.00	4.23	4.62	0.58	22.80	0.38	0.26
v34	2	1	2	11.20	0.35	4.80	4.30	3.60	"1,515.00"	20.00	528.00	"1,910.00"	258.00	168.00	136.00	3.98	4.34	0.56	22.10	0.43	0.28
v35	1	2	3	13.00	1.60	6.80	4.80	3.80	"2,153.00"	38.40	716.00	"2,547.00"	166.00	122.00	44.00	5.34	6.06	0.77	14.70	0.67	0.28
v36	1	2	3	14.00	0.40	4.40	3.90	3.40	"2,481.00"	44.30	"1,313.00"	"3,392.00"	288.00	197.00	146.00	5.76	6.64	0.93	16.70	0.56	0.39
v37	1	2	3	13.20	0.55	4.70	4.00	3.60	"1,665.00"	38.00	834.00	"2,956.00"	206.00	204.00	82.00	5.15	5.85	0.79	14.20	0.55	0.28
v38	1	2	3	13.40	1.10	4.90	3.50	3.60	"3,152.00"	56.20	"1,561.00"	"5,082.00"	244.00	174.00	90.00	7.91	9.12	0.75	21.20	0.63	0.31
v39	1	2	3	13.20	0.65	4.90	4.10	3.60	"3,109.00"	54.20	"1,355.00"	"4,536.00"	280.00	189.00	115.00	7.88	9.30	0.83	16.10	0.62	0.30
v40	1	2	3	13.90	0.80	4.60	3.60	3.70	"1,975.00"	33.90	544.00	"2,390.00"	254.00	182.00	113.00	4.42	5.02	0.82	18.60	0.44	0.23
v41	2	2	4	14.00	0.60	4.10	3.40	3.40	"2,334.00"	47.30	"1,210.00"	"3,422.00"	354.00	253.00	183.00	6.58	7.74	0.79	17.20	0.50	0.35
v42	2	2	4	13.90	0.30	4.70	4.30	3.60	"1,915.00"	39.80	"1,128.00"	"2,970.00"	229.00	188.00	89.00	5.00	5.67	0.72	18.30	0.45	0.38
v43	2	2	4	12.10	0.70	5.50	4.60	3.40	"2,171.00"	35.90	"1,177.00"	"3,313.00"	280.00	202.00	130.00	6.04	6.81	0.66	26.40	0.40	0.36
v44	2	2	4	13.90	0.40	3.80	3.30	3.90	"2,668.00"	47.10	"1,270.00"	"2,922.00"	345.00	268.00	148.00	7.07	8.37	0.86	12.90	0.53	0.43
v45	2	2	4	12.30	0.65	4.80	4.00	3.60	"3,071.00"	51.60	"1,496.00"	"4,600.00"	388.00	267.00	180.00	7.01	8.26	0.85	23.00	0.43	0.33
